car, numenta, random , bayes  , expose 
1  ,  68.26%,  99.41%,  78.31%,  68.31%
3  ,  82.29%,  99.18%,  85.09%,  73.33%
4  ,  77.86%,  97.73%,  89.96%,  68.79%
6  ,  87.17%,  97.73%,  86.67%,  74.16%
7  ,  73.98%,  97.49%,  77.57%,  79.58%
12 ,  62.32%,  98.98%,  81.14%,  83.16%
14 ,  76.02%,  98.60%,  87.85%,  86.36%
15 ,  85.99%,  98.67%,  85.50%,  94.96%
17 ,  77.69%,  97.98%,  85.00%,  79.26%
18 ,  79.67%,  99.19%,  78.08%,  62.38%
19 ,  73.95%,  96.41%,  80.82%,  68.50%
20 ,  70.83%,  98.56%,  77.27%,  59.44%
21 ,  73.17%,  97.91%,  77.34%,  69.09%
22 ,  71.52%,  98.58%,  83.59%,  71.68%
23 ,  70.95%,  95.85%,  79.46%,  67.89%
24 ,  76.98%,  98.29%,  84.83%,  78.69%
25 ,  49.24%,  99.44%,  83.94%,  74.60%
26 ,  77.60%,  98.45%,  80.37%,  84.73%
27 ,  88.50%,  95.12%,  85.98%,  76.64%
28 ,  87.73%,  98.31%,  87.22%,  80.65%
29 ,  88.50%,  96.72%,  88.95%,  80.15%
59 ,  78.85%,  99.00%,  86.21%,  84.58%
60 ,  85.29%,  96.05%,  87.45%,  82.90%
64 ,  80.25%,  98.64%,  86.78%,  79.33%
66 ,  80.13%,  98.52%,  87.14%,  84.49%
88 ,  79.80%,  97.71%,  90.00%,  83.42%
98 ,  79.39%,  98.31%,  81.97%,  71.69%
