car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  65.27%,  67.06%,  33.33%,  65.03%
3  ,  52.04%,  69.67%,  38.04%,  44.34%
4  ,  57.14%,  85.00%,  66.02%,  57.45%
6  ,  83.42%,  89.55%,  72.59%,  77.99%
7  ,  50.00%,  78.89%,  47.99%,  65.42%
12 ,  63.77%,  64.97%,  44.00%,  78.06%
14 ,  50.51%,  68.37%,  46.05%,  74.72%
15 ,  86.62%,  91.11%,  68.03%,  93.28%
17 ,  63.78%,  77.27%,  61.88%,  80.74%
18 ,  65.85%,  84.55%,  54.79%,  67.33%
19 ,  47.90%,  62.78%,  39.18%,  78.12%
20 ,  69.44%,  67.46%,  44.32%,  69.23%
21 ,  52.12%,  65.45%,  47.29%,  59.39%
22 ,  53.94%,  78.30%,  56.41%,  66.52%
23 ,  72.30%,  88.60%,  63.18%,  72.11%
24 ,  82.73%,  73.50%,  49.44%,  77.87%
25 ,  49.24%,  91.57%,  72.69%,  77.78%
26 ,  51.37%,  67.01%,  38.52%,  67.49%
27 ,  88.50%,  84.15%,  69.63%,  75.18%
28 ,  64.85%,  79.78%,  58.77%,  81.94%
29 ,  61.06%,  69.67%,  45.79%,  56.62%
59 ,  55.13%,  87.50%,  68.97%,  72.64%
60 ,  57.35%,  72.93%,  45.97%,  65.80%
64 ,  55.70%,  87.73%,  67.36%,  83.33%
66 ,  75.80%,  92.61%,  71.37%,  78.61%
88 ,  63.64%,  77.10%,  60.00%,  64.32%
98 ,  69.70%,  74.72%,  42.74%,  68.26%
