car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  62.50%,  50.00%, 100.00%,  62.50%
3  ,  70.00%,  60.00%, 100.00%,  80.00%
4  ,  58.33%,  58.33%,  75.00%,  50.00%
6  ,  36.36%,  54.55%, 100.00%,  45.45%
7  ,  40.00%,  40.00%,  80.00%,  40.00%
12 ,  46.15%,  61.54%,  76.92%,  61.54%
14 ,  53.33%,  53.33%,  66.67%,  26.67%
15 ,  44.44%,  44.44%,  88.89%,  22.22%
17 ,  30.00%,  30.00%,  80.00%,  40.00%
18 ,  44.44%,  55.56%,  77.78%,  44.44%
19 ,  57.14%,  57.14%, 100.00%,  28.57%
20 ,  53.85%,  53.85%, 100.00%,  46.15%
21 ,  46.67%,  40.00%,  80.00%,  60.00%
22 ,  58.33%,  58.33%,  91.67%,  58.33%
23 ,  35.71%,  50.00%,  85.71%,  50.00%
24 ,  16.67%,  41.67%,  75.00%,  41.67%
25 ,  50.00%,  25.00%,  83.33%,  41.67%
26 ,  35.29%,  58.82%,  88.24%,  41.18%
27 ,  30.00%,  50.00%,  80.00%,  60.00%
28 ,  40.00%,  40.00%,  80.00%,  40.00%
29 ,  60.00%,  50.00%,  90.00%,  70.00%
59 ,  55.56%,  44.44%, 100.00%,  44.44%
60 ,  40.00%,  70.00%,  80.00%,  60.00%
64 ,  30.00%,  40.00%,  80.00%,  50.00%
66 ,  40.00%,  30.00%,  60.00%,  50.00%
88 ,  45.45%,  45.45%,  81.82%,  63.64%
98 ,  31.25%,  37.50%,  75.00%,  43.75%
