car, numenta, random , bayes  , expose 
1  ,  95.81%, 100.00%,  91.01%,  93.99%
3  ,  97.92%,  99.18%,  93.17%,  98.10%
4  ,  98.57%,  99.55%,  94.98%,  98.58%
6  ,  99.47%,  98.64%,  94.44%,  99.52%
7  ,  95.41%, 100.00%,  90.44%,  98.75%
12 ,  98.55%,  99.49%,  90.86%,  98.47%
14 ,  92.86%,  99.53%,  94.39%,  97.73%
15 ,  98.09%,  99.56%,  92.57%, 100.00%
17 ,  97.52%, 100.00%,  89.50%,  97.04%
18 ,  95.93%,  99.19%,  92.47%,  98.02%
19 ,  96.64%, 100.00%,  92.24%,  94.49%
20 ,  91.67%, 100.00%,  89.20%,  94.41%
21 ,  98.78%, 100.00%,  90.15%,  97.58%
22 ,  93.33%,  99.53%,  91.28%,  97.35%
23 ,  95.95%, 100.00%,  86.82%,  98.95%
24 ,  99.28%,  99.15%,  92.13%,  96.72%
25 ,  71.21%, 100.00%,  91.57%,  96.83%
26 ,  97.81%, 100.00%,  88.89%,  99.01%
27 ,  96.46%,  98.17%,  91.59%,  97.81%
28 ,  97.55%, 100.00%,  93.39%, 100.00%
29 ,  96.46%, 100.00%,  94.21%,  98.53%
59 ,  94.23%, 100.00%,  93.45%, 100.00%
60 ,  97.79%,  99.12%,  95.55%,  96.37%
64 ,  96.18%,  99.55%,  92.98%,  98.67%
66 ,  93.59%,  99.01%,  93.78%,  97.33%
88 ,  97.98%,  98.47%,  95.00%,  99.50%
98 ,  93.13%,  99.44%,  91.42%,  97.59%
