car, numenta, random , bayes  , expose 
1  ,  29.03%,   0.00%,  61.29%,  48.39%
3  ,  26.32%,   5.26%,  47.37%,  31.58%
4  ,  17.39%,  13.04%,  39.13%,  21.74%
6  ,  14.29%,  19.05%,  61.90%,  42.86%
7  ,  20.69%,   0.00%,  62.07%,  27.59%
12 ,  16.00%,   8.00%,  52.00%,  28.00%
14 ,  17.24%,   3.45%,  37.93%,  20.69%
15 ,  11.11%,   5.56%,  66.67%,   5.56%
17 ,  21.05%,  10.53%,  73.68%,  26.32%
18 ,  23.53%,   5.88%,  58.82%,  41.18%
19 ,  25.93%,  11.11%,  62.96%,  22.22%
20 ,  36.00%,   8.00%,  52.00%,  40.00%
21 ,  27.59%,   3.45%,  48.28%,  20.69%
22 ,  30.43%,   4.35%,  65.22%,  47.83%
23 ,  25.93%,  14.81%,  66.67%,  37.04%
24 ,   8.70%,   4.35%,  47.83%,  26.09%
25 ,  34.78%,   0.00%,  69.57%,  43.48%
26 ,  15.15%,   6.06%,  69.70%,  15.15%
27 ,  15.79%,  21.05%,  68.42%,  31.58%
28 ,  31.58%,   5.26%,  68.42%,  26.32%
29 ,  15.79%,  10.53%,  47.37%,  26.32%
59 ,  29.41%,   0.00%,  70.59%,  23.53%
60 ,  15.79%,  26.32%,  63.16%,  26.32%
64 ,  15.79%,  15.79%,  73.68%,  26.32%
66 ,  31.58%,  10.53%,  63.16%,  36.84%
88 ,  23.81%,   9.52%,  42.86%,  23.81%
98 ,  19.35%,   3.23%,  77.42%,  25.81%
