car, numenta, random , bayes  , expose 
1  ,  48.39%,   3.23%,  80.65%,  58.06%
3  ,  36.84%,   5.26%,  57.89%,  36.84%
4  ,  39.13%,  17.39%,  47.83%,  39.13%
6  ,  47.62%,  23.81%,  76.19%,  52.38%
7  ,  44.83%,  10.34%,  68.97%,  48.28%
12 ,  52.00%,   8.00%,  64.00%,  40.00%
14 ,  37.93%,  10.34%,  48.28%,  24.14%
15 ,  50.00%,  16.67%,  66.67%,   5.56%
17 ,  47.37%,  15.79%,  73.68%,  52.63%
18 ,  52.94%,   5.88%,  58.82%,  52.94%
19 ,  48.15%,  18.52%,  77.78%,  40.74%
20 ,  52.00%,  12.00%,  60.00%,  48.00%
21 ,  48.28%,   6.90%,  62.07%,  34.48%
22 ,  56.52%,  13.04%,  73.91%,  65.22%
23 ,  48.15%,  29.63%,  70.37%,  40.74%
24 ,  39.13%,  13.04%,  60.87%,  39.13%
25 ,  52.17%,   4.35%,  69.57%,  65.22%
26 ,  42.42%,  12.12%,  75.76%,  39.39%
27 ,  42.11%,  36.84%,  68.42%,  47.37%
28 ,  52.63%,  15.79%,  68.42%,  36.84%
29 ,  31.58%,  21.05%,  52.63%,  47.37%
59 ,  52.94%,  11.76%,  82.35%,  58.82%
60 ,  42.11%,  52.63%,  68.42%,  52.63%
64 ,  57.89%,  15.79%,  73.68%,  47.37%
66 ,  63.16%,  21.05%,  63.16%,  52.63%
88 ,  38.10%,   9.52%,  52.38%,  47.62%
98 ,  45.16%,   6.45%,  83.87%,  54.84%
