car, numenta, random , bayes  , expose 
1  ,  76.05%,  99.41%,  78.84%,  73.22%
3  ,  86.46%,  99.18%,  86.96%,  78.10%
4  ,  84.29%,  98.18%,  90.73%,  72.34%
6  ,  89.30%,  97.73%,  86.67%,  78.47%
7  ,  80.61%,  98.49%,  80.15%,  83.33%
12 ,  65.22%,  98.98%,  81.71%,  83.16%
14 ,  77.04%,  99.07%,  88.32%,  86.93%
15 ,  87.26%,  99.11%,  85.87%,  97.48%
17 ,  83.47%,  98.48%,  85.50%,  82.22%
18 ,  84.55%,  99.19%,  80.82%,  67.33%
19 ,  77.31%,  97.76%,  81.63%,  77.95%
20 ,  72.22%,  98.56%,  80.68%,  70.63%
21 ,  76.83%,  98.95%,  79.80%,  74.55%
22 ,  73.33%,  98.58%,  84.62%,  78.32%
23 ,  72.97%,  96.37%,  79.84%,  73.68%
24 ,  82.73%,  98.29%,  85.96%,  80.33%
25 ,  53.03%,  99.44%,  84.74%,  78.84%
26 ,  82.51%,  98.45%,  80.74%,  88.67%
27 ,  88.50%,  96.34%,  85.98%,  78.10%
28 ,  88.96%,  98.88%,  87.67%,  84.52%
29 ,  89.38%,  96.72%,  88.95%,  85.29%
59 ,  80.13%,  99.00%,  87.24%,  89.55%
60 ,  89.71%,  96.05%,  88.26%,  86.53%
64 ,  80.89%,  98.64%,  86.78%,  86.00%
66 ,  83.33%,  98.52%,  88.38%,  85.03%
88 ,  82.83%,  98.47%,  90.00%,  83.92%
98 ,  80.92%,  98.88%,  83.26%,  75.90%
