car, numenta, random , bayes  , expose 
1  ,  41.94%,   0.00%,  67.74%,  58.06%
3  ,  36.84%,   5.26%,  47.37%,  36.84%
4  ,  39.13%,  13.04%,  47.83%,  30.43%
6  ,  28.57%,  19.05%,  76.19%,  47.62%
7  ,  37.93%,   3.45%,  65.52%,  44.83%
12 ,  52.00%,   8.00%,  60.00%,  36.00%
14 ,  34.48%,  10.34%,  44.83%,  24.14%
15 ,  38.89%,  11.11%,  66.67%,   5.56%
17 ,  36.84%,  15.79%,  73.68%,  42.11%
18 ,  52.94%,   5.88%,  58.82%,  47.06%
19 ,  48.15%,  11.11%,  74.07%,  37.04%
20 ,  48.00%,   8.00%,  56.00%,  44.00%
21 ,  44.83%,   6.90%,  55.17%,  27.59%
22 ,  56.52%,   4.35%,  65.22%,  52.17%
23 ,  37.04%,  25.93%,  66.67%,  37.04%
24 ,  30.43%,   4.35%,  56.52%,  34.78%
25 ,  43.48%,   4.35%,  69.57%,  52.17%
26 ,  24.24%,   9.09%,  69.70%,  33.33%
27 ,  26.32%,  21.05%,  68.42%,  47.37%
28 ,  47.37%,  10.53%,  68.42%,  26.32%
29 ,  31.58%,  21.05%,  47.37%,  36.84%
59 ,  35.29%,  11.76%,  76.47%,  41.18%
60 ,  15.79%,  36.84%,  68.42%,  47.37%
64 ,  57.89%,  15.79%,  73.68%,  42.11%
66 ,  42.11%,  10.53%,  63.16%,  42.11%
88 ,  33.33%,   9.52%,  47.62%,  42.86%
98 ,  35.48%,   3.23%,  80.65%,  48.39%
