car, numenta, random , bayes  , expose 
1  ,  86.83%, 100.00%,  86.24%,  87.98%
3  ,  93.75%,  99.18%,  91.30%,  94.29%
4  ,  95.71%,  98.64%,  93.44%,  94.33%
6  ,  97.86%,  98.18%,  91.11%,  94.26%
7  ,  91.33%, 100.00%,  86.40%,  95.00%
12 ,  93.48%,  98.98%,  87.43%,  95.92%
14 ,  90.82%,  99.53%,  92.06%,  93.75%
15 ,  98.09%,  99.56%,  89.59%,  99.16%
17 ,  95.04%,  98.99%,  87.50%,  92.59%
18 ,  94.31%,  99.19%,  89.73%,  89.11%
19 ,  93.28%,  98.65%,  86.53%,  91.34%
20 ,  86.11%,  99.04%,  86.36%,  87.41%
21 ,  89.63%,  99.48%,  87.19%,  92.73%
22 ,  86.06%,  99.53%,  88.21%,  92.92%
23 ,  87.16%,  97.93%,  84.11%,  92.63%
24 ,  97.84%,  99.15%,  88.76%,  91.80%
25 ,  66.67%, 100.00%,  88.35%,  90.48%
26 ,  94.54%,  98.97%,  85.19%,  96.55%
27 ,  95.58%,  97.56%,  88.32%,  95.62%
28 ,  95.09%,  99.44%,  90.31%,  96.13%
29 ,  95.58%,  98.36%,  91.58%,  95.59%
59 ,  89.10%, 100.00%,  90.00%,  97.51%
60 ,  97.06%,  98.25%,  91.50%,  95.34%
64 ,  89.81%,  98.64%,  89.67%,  95.33%
66 ,  91.03%,  99.01%,  91.29%,  94.65%
88 ,  90.91%,  98.47%,  93.18%,  96.48%
98 ,  90.84%,  99.44%,  86.70%,  94.58%
