car, numenta, random , bayes  , expose 
1  ,  78.44%, 100.00%,  84.66%,  80.33%
3  ,  87.50%,  99.18%,  89.44%,  88.57%
4  ,  86.43%,  98.64%,  91.89%,  81.56%
6  ,  93.58%,  98.18%,  87.78%,  88.04%
7  ,  83.67%,  99.50%,  83.46%,  87.92%
12 ,  76.81%,  98.98%,  82.86%,  88.27%
14 ,  81.63%,  99.07%,  89.72%,  89.77%
15 ,  91.72%,  99.11%,  86.62%,  99.16%
17 ,  87.60%,  98.48%,  85.50%,  88.15%
18 ,  86.18%,  99.19%,  84.93%,  81.19%
19 ,  80.67%,  98.65%,  84.08%,  85.04%
20 ,  77.08%,  99.04%,  84.09%,  81.12%
21 ,  82.93%,  98.95%,  82.76%,  83.64%
22 ,  75.15%,  99.53%,  88.21%,  86.73%
23 ,  80.41%,  96.37%,  82.95%,  83.68%
24 ,  87.05%,  99.15%,  86.52%,  87.70%
25 ,  56.06%,  99.44%,  87.15%,  86.24%
26 ,  91.26%,  98.45%,  83.33%,  91.63%
27 ,  92.04%,  97.56%,  87.38%,  88.32%
28 ,  90.80%,  98.88%,  89.43%,  92.26%
29 ,  89.38%,  96.72%,  90.53%,  90.44%
59 ,  84.62%,  99.00%,  88.97%,  94.03%
60 ,  95.59%,  96.93%,  89.88%,  91.19%
64 ,  83.44%,  98.64%,  88.84%,  89.33%
66 ,  89.74%,  99.01%,  89.21%,  91.44%
88 ,  85.86%,  98.47%,  90.91%,  90.45%
98 ,  86.26%,  99.44%,  85.41%,  87.35%
