car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  43.75%,  50.00%,  93.75%,  50.00%
3  ,  70.00%,  60.00%, 100.00%,  80.00%
4  ,  58.33%,  58.33%,  75.00%,  50.00%
6  ,  27.27%,  45.45%,  90.91%,  36.36%
7  ,  33.33%,  40.00%,  80.00%,  33.33%
12 ,  46.15%,  53.85%,  76.92%,  46.15%
14 ,  53.33%,  53.33%,  66.67%,  26.67%
15 ,  22.22%,  44.44%,  88.89%,  22.22%
17 ,  30.00%,  30.00%,  90.00%,  20.00%
18 ,  33.33%,  55.56%,  66.67%,  33.33%
19 ,  57.14%,  57.14%,  92.86%,  21.43%
20 ,  46.15%,  53.85%, 100.00%,  30.77%
21 ,  46.67%,  40.00%,  80.00%,  53.33%
22 ,  50.00%,  50.00%,  83.33%,  58.33%
23 ,  28.57%,  50.00%,  78.57%,  42.86%
24 ,  16.67%,  33.33%,  66.67%,  33.33%
25 ,  41.67%,  25.00%,  83.33%,  33.33%
26 ,  35.29%,  58.82%,  88.24%,  41.18%
27 ,  30.00%,  40.00%,  90.00%,  40.00%
28 ,  20.00%,  40.00%,  80.00%,  40.00%
29 ,  50.00%,  50.00%,  90.00%,  50.00%
59 ,  55.56%,  44.44%,  88.89%,  44.44%
60 ,  30.00%,  70.00%,  80.00%,  50.00%
64 ,  20.00%,  40.00%,  80.00%,  40.00%
66 ,  30.00%,  20.00%,  50.00%,  20.00%
88 ,  36.36%,  36.36%,  90.91%,  54.55%
98 ,  31.25%,  37.50%,  68.75%,  43.75%
