car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  70.06%,  67.06%,  33.86%,  72.13%
3  ,  55.10%,  69.67%,  39.26%,  50.00%
4  ,  60.71%,  85.00%,  66.41%,  65.25%
6  ,  87.17%,  89.55%,  73.70%,  83.73%
7  ,  52.55%,  79.40%,  50.00%,  71.67%
12 ,  77.54%,  64.97%,  46.86%,  83.67%
14 ,  58.16%,  68.84%,  47.44%,  79.10%
15 ,  92.36%,  91.11%,  69.14%,  93.28%
17 ,  68.50%,  77.78%,  64.18%,  85.19%
18 ,  72.36%,  84.55%,  58.22%,  74.26%
19 ,  58.82%,  62.78%,  40.82%,  83.59%
20 ,  75.00%,  67.46%,  44.89%,  74.83%
21 ,  56.10%,  65.97%,  48.28%,  64.85%
22 ,  63.03%,  78.30%,  56.41%,  71.37%
23 ,  77.70%,  89.12%,  63.95%,  80.53%
24 ,  92.81%,  73.50%,  51.12%,  80.33%
25 ,  58.33%,  92.13%,  73.90%,  79.89%
26 ,  54.64%,  67.01%,  40.00%,  72.41%
27 ,  90.27%,  84.15%,  70.56%,  82.48%
28 ,  68.29%,  79.78%,  58.77%,  84.52%
29 ,  64.60%,  69.67%,  45.79%,  61.76%
59 ,  58.97%,  88.00%,  68.97%,  74.63%
60 ,  58.82%,  73.80%,  47.18%,  68.91%
64 ,  61.15%,  87.73%,  67.77%,  87.33%
66 ,  76.92%,  92.61%,  72.61%,  80.75%
88 ,  67.68%,  77.10%,  62.27%,  70.35%
98 ,  72.73%,  74.72%,  43.59%,  73.49%
