car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  63.47%,  67.06%,  29.10%,  59.56%
3  ,  51.02%,  69.67%,  36.81%,  37.04%
4  ,  55.71%,  85.00%,  65.64%,  53.19%
6  ,  78.01%,  89.55%,  71.48%,  70.81%
7  ,  47.96%,  78.39%,  45.82%,  62.92%
12 ,  55.80%,  64.97%,  43.18%,  72.96%
14 ,  46.43%,  68.37%,  44.91%,  71.91%
15 ,  82.17%,  91.11%,  67.29%,  91.60%
17 ,  60.63%,  77.27%,  61.58%,  77.04%
18 ,  65.04%,  84.55%,  52.74%,  56.44%
19 ,  45.38%,  61.88%,  37.96%,  72.09%
20 ,  67.36%,  66.99%,  42.05%,  60.14%
21 ,  49.09%,  65.45%,  44.61%,  53.94%
22 ,  52.73%,  78.30%,  54.36%,  59.91%
23 ,  65.54%,  88.60%,  61.24%,  63.68%
24 ,  78.42%,  72.65%,  48.88%,  72.13%
25 ,  45.59%,  91.57%,  70.28%,  70.90%
26 ,  44.26%,  66.67%,  36.30%,  64.71%
27 ,  85.09%,  84.15%,  68.69%,  67.88%
28 ,  63.64%,  79.78%,  57.02%,  73.72%
29 ,  61.06%,  69.67%,  44.21%,  52.21%
59 ,  52.56%,  87.50%,  67.59%,  68.66%
60 ,  52.90%,  72.17%,  45.97%,  64.25%
64 ,  53.80%,  87.73%,  65.70%,  80.00%
66 ,  69.43%,  92.12%,  70.54%,  74.33%
88 ,  60.61%,  77.10%,  59.73%,  58.79%
98 ,  64.39%,  74.72%,  41.28%,  59.76%
