car, numenta, random , bayes  , expose 
1  ,  16.13%,   0.00%,  48.39%,  25.81%
3  ,   5.26%,   5.26%,  47.37%,  10.53%
4  ,   8.70%,   4.35%,  34.78%,   8.70%
6  ,   4.76%,  14.29%,  61.90%,   4.76%
7  ,  13.79%,   0.00%,  58.62%,   6.90%
12 ,   4.00%,   4.00%,  44.00%,  12.00%
14 ,  17.24%,   3.45%,  34.48%,   3.45%
15 ,  11.11%,   5.56%,  66.67%,   0.00%
17 ,   5.26%,   0.00%,  68.42%,  15.79%
18 ,  23.53%,   5.88%,  52.94%,  11.76%
19 ,   7.41%,   0.00%,  51.85%,  11.11%
20 ,  28.00%,   0.00%,  48.00%,  16.00%
21 ,   6.90%,   0.00%,  44.83%,  10.34%
22 ,  17.39%,   4.35%,  52.17%,  17.39%
23 ,   7.41%,   0.00%,  62.96%,   7.41%
24 ,   4.35%,   4.35%,  43.48%,   8.70%
25 ,  26.09%,   0.00%,  65.22%,  17.39%
26 ,   9.09%,   0.00%,  63.64%,   6.06%
27 ,  10.53%,  15.79%,  63.16%,  15.79%
28 ,  15.79%,   0.00%,  63.16%,   0.00%
29 ,  15.79%,   0.00%,  42.11%,  10.53%
59 ,  23.53%,   0.00%,  70.59%,   0.00%
60 ,  10.53%,  10.53%,  52.63%,  21.05%
64 ,  10.53%,   5.26%,  63.16%,  10.53%
66 ,  21.05%,  10.53%,  52.63%,  26.32%
88 ,   4.76%,   9.52%,  42.86%,   4.76%
98 ,  12.90%,   3.23%,  54.84%,   9.68%
