car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  73.65%,  67.06%,  37.04%,  75.41%
3  ,  58.33%,  69.67%,  40.37%,  52.38%
4  ,  62.14%,  85.00%,  67.18%,  68.09%
6  ,  88.24%,  90.00%,  75.93%,  87.56%
7  ,  54.59%,  79.40%,  52.57%,  75.00%
12 ,  80.43%,  65.48%,  49.71%,  85.71%
14 ,  59.69%,  68.84%,  49.07%,  83.52%
15 ,  92.36%,  91.11%,  70.63%,  94.12%
17 ,  72.73%,  78.28%,  65.50%,  89.63%
18 ,  73.17%,  84.55%,  60.27%,  81.19%
19 ,  59.66%,  62.78%,  44.49%,  85.04%
20 ,  80.56%,  67.46%,  46.59%,  78.32%
21 ,  59.76%,  65.97%,  49.26%,  67.88%
22 ,  66.67%,  78.30%,  57.95%,  74.34%
23 ,  81.08%,  90.16%,  65.12%,  85.79%
24 ,  92.81%,  73.50%,  52.81%,  82.79%
25 ,  61.36%,  92.13%,  75.90%,  84.13%
26 ,  57.38%,  67.53%,  42.22%,  73.40%
27 ,  90.27%,  84.76%,  71.50%,  83.94%
28 ,  69.94%,  80.34%,  61.23%,  87.10%
29 ,  65.49%,  71.31%,  48.42%,  64.71%
59 ,  63.46%,  88.00%,  72.07%,  76.62%
60 ,  59.56%,  74.56%,  49.80%,  69.43%
64 ,  67.52%,  87.73%,  69.83%,  89.33%
66 ,  78.21%,  92.61%,  74.27%,  83.42%
88 ,  72.73%,  77.10%,  63.18%,  71.86%
98 ,  74.05%,  74.72%,  45.92%,  74.10%
