avg_cer,avg_wer
0.45569180214444077,0.9556755712502534
0.29803840583002145,0.7637684389923097
0.23349993089994314,0.6536367428284864
0.19230229206406754,0.5572508191600846
0.16710125998422373,0.49514285988534923
0.1492404535037758,0.45033342473048765
0.13258757153082215,0.4085925768665978
0.12223406245026794,0.3781212343306091
0.11343713240731124,0.3580900004107726
0.10833655231215968,0.34239436013250846
0.10409899546597744,0.3301170480499592
0.10099437712646016,0.32145635571500675
0.09644592532257601,0.30770095971727646
0.09477082204044228,0.30321886703941014
0.09153850158290046,0.2944741908083226
0.08957424716915821,0.2876313861071773
0.08735419249283674,0.27974660090974846
0.08562035035982307,0.27491939299041673
0.0841273839497271,0.27116909492681396
0.08334464779498843,0.2689042524972894
